Reference,publised_year,Species
"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174",2009,Hydrochoerus hydrochaeris
"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509",2013,Didelphis aurita
"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509",2013,Nasua nasua
"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509",2013,Procyon cancrivorus
"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509",2013,Cuniculus paca
"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509",2013,Dasypus novemcinctus
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Mazama sp.
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Puma concolor
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Cerdocyon thous
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Procyon cancrivorus
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Dasypus novemcinctus
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Leopardus sp.
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Procyon cancrivorus
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Dasyprocta azarae
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Nasua nasua
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Myrmecophaga tridactyla
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Sylvilagus brasiliensis
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Hydrochoerus hydrochaeris
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Conepatus semistriatus
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Cabassous sp.
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Didelphis sp.
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Cuniculus paca
"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158.",2012,Eira barbara
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Cerdocyon thous
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Dasyprocta azarae
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Didelphis aurita
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Eira barbara
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Euphractus sexcinctus
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Leopardus sp.
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Nasua nasua
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Procyon cancrivorus
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Puma concolor
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Sapajus nigritus
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Cerdocyon thous
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Dasypus novemcinctus
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Eira barbara
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Galictis cuja
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Leopardus sp.
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Nasua nasua
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Sapajus nigritus
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Cerdocyon thous
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Dasypus novemcinctus
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Eira barbara
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Galictis cuja
"Bogoni, J.A., Bogoni, T.C., Graipel, M.E. and Marinho, J.R. (2013). The Influence of Landscape and Microhabitat on the Diversity of Large-and Medium-Sized Mammals in Atlantic Forest Remnants in a Matrix of Agroecosystem and Silviculture. ISRN Forestry 2013.",2013,Nasua nasua
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Puma concolor
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Sus scrofa
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Coendou spinosus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Cavia sp.
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Dasyprocta azarae
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Myocastor coypus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Galictis cuja
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Dasypus septemcinctus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Canis familiaris
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Leopardus wiedii
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Leopardus guttulus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Hydrochoerus hydrochaeris
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Mazama americana
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Mazama gouazoubira
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Mazama nana
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Cuniculus paca
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Pecari tajacu
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Eira barbara
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Nasua nasua
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Procyon cancrivorus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Dasypus novemcinctus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Cerdocyon thous
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Lontra longicaudis
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Sapajus nigritus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Tamandua tetradactyla
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Leopardus wiedii
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Leopardus guttulus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Eira barbara
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Nasua nasua
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Procyon cancrivorus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Cerdocyon thous
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Dasypus novemcinctus
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Didelphis aurita
"Bogoni, J.A., Cherem, J.J., Giehl, E.L.H., Oliveira-Santos, L.G.R., Castilho, P.V., Picinatto-Filho, V., Fanticini, F.M., Tortato, M.A., Luiz, M.R., Rizzaro, R. and Graipel, M.E. (2016a). Landscape features lead to shifts in communities of medium to large-bodied mammals in subtropical Atlantic Forest. J. Mammal., gyv215.in press.",2016,Leopardus wiedii
